repeat,split_seed,row_id,split
0,10042,62,test
0,10042,88,test
0,10042,138,test
0,10042,223,test
0,10042,86,test
0,10042,69,test
0,10042,173,test
0,10042,182,test
0,10042,90,test
0,10042,236,test
0,10042,3,test
0,10042,169,test
0,10042,5,test
0,10042,11,test
0,10042,70,test
0,10042,132,test
0,10042,177,test
0,10042,154,test
0,10042,56,test
0,10042,141,test
0,10042,16,test
0,10042,59,test
0,10042,57,test
0,10042,196,test
0,10042,93,test
0,10042,100,test
0,10042,155,test
0,10042,207,test
0,10042,171,test
0,10042,21,test
0,10042,117,test
0,10042,183,test
0,10042,1,test
0,10042,38,test
0,10042,79,test
0,10042,144,test
0,10042,128,test
0,10042,14,test
0,10042,104,test
0,10042,12,test
0,10042,166,test
0,10042,15,test
0,10042,135,test
0,10042,194,test
0,10042,96,test
0,10042,47,test
0,10042,203,test
0,10042,97,test
0,10042,119,test
0,10042,185,test
0,10042,77,test
0,10042,133,test
0,10042,52,test
0,10042,31,test
0,10042,122,test
0,10042,17,test
0,10042,109,test
0,10042,213,test
0,10042,110,test
0,10042,51,test
0,10042,10,test
0,10042,238,test
0,10042,67,test
0,10042,147,test
0,10042,18,test
0,10042,219,test
0,10042,84,test
1,10043,159,train
1,10043,9,train
1,10043,135,train
1,10043,154,train
1,10043,42,train
1,10043,5,train
1,10043,55,train
1,10043,116,train
1,10043,22,train
1,10043,229,train
1,10043,152,train
1,10043,19,train
1,10043,165,train
1,10043,89,train
1,10043,115,train
1,10043,25,train
1,10043,17,train
1,10043,117,train
1,10043,190,train
1,10043,140,train
1,10043,91,train
1,10043,8,train
1,10043,60,train
1,10043,142,train
1,10043,97,train
1,10043,167,train
1,10043,218,train
1,10043,111,train
1,10043,86,train
1,10043,62,train
1,10043,67,train
1,10043,173,train
1,10043,118,train
1,10043,233,train
1,10043,219,train
1,10043,85,train
1,10043,69,train
1,10043,40,train
1,10043,123,train
1,10043,50,train
1,10043,151,train
1,10043,32,train
1,10043,24,train
1,10043,207,train
1,10043,3,train
1,10043,175,train
1,10043,27,train
1,10043,51,train
1,10043,228,train
1,10043,15,train
1,10043,84,train
1,10043,14,train
1,10043,164,train
1,10043,202,train
1,10043,108,train
1,10043,193,train
1,10043,220,train
1,10043,122,train
1,10043,16,train
1,10043,194,train
1,10043,214,train
1,10043,12,train
1,10043,28,train
1,10043,52,train
1,10043,234,train
1,10043,21,train
1,10043,38,train
1,10043,131,train
1,10043,197,train
1,10043,35,train
1,10043,90,train
1,10043,46,train
1,10043,70,train
1,10043,109,train
1,10043,33,train
1,10043,199,train
1,10043,195,train
1,10043,43,train
1,10043,34,train
1,10043,4,train
1,10043,227,train
1,10043,120,train
1,10043,225,train
1,10043,236,train
1,10043,110,train
1,10043,87,train
1,10043,119,train
1,10043,166,train
1,10043,132,train
1,10043,47,train
1,10043,39,train
1,10043,53,train
1,10043,133,train
1,10043,37,train
1,10043,78,train
1,10043,201,train
1,10043,230,train
1,10043,191,train
1,10043,237,train
1,10043,189,train
1,10043,31,train
1,10043,149,train
1,10043,101,train
1,10043,125,train
1,10043,99,train
1,10043,128,train
1,10043,30,train
1,10043,10,train
1,10043,148,train
1,10043,232,train
1,10043,73,train
1,10043,11,train
1,10043,98,train
1,10043,23,train
1,10043,134,train
1,10043,224,train
1,10043,177,train
1,10043,1,train
1,10043,36,train
1,10043,192,train
1,10043,208,train
1,10043,226,train
1,10043,205,train
1,10043,153,train
1,10043,104,train
1,10043,6,train
1,10043,209,train
1,10043,171,train
1,10043,63,train
1,10043,18,train
1,10043,103,train
1,10043,139,train
1,10043,158,train
1,10043,29,train
1,10043,138,train
1,10043,212,train
1,10043,102,train
1,10043,204,train
1,10043,163,train
1,10043,58,train
1,10043,76,train
1,10043,26,train
1,10043,238,train
1,10043,7,train
1,10043,170,train
1,10043,13,train
1,10043,184,train
1,10043,20,train
1,10043,64,train
1,10043,94,train
1,10043,182,train
1,10043,221,train
1,10043,203,train
1,10043,59,train
1,10043,196,train
1,10043,169,train
1,10043,72,train
1,10043,82,train
1,10043,121,train
1,10043,223,train
1,10043,185,train
1,10043,124,train
1,10043,156,train
1,10043,180,train
1,10043,74,train
1,10043,75,train
1,10043,146,train
1,10043,155,train
1,10043,231,test
1,10043,68,test
1,10043,0,test
1,10043,105,test
1,10043,95,test
1,10043,129,test
1,10043,126,test
1,10043,54,test
1,10043,96,test
1,10043,92,test
1,10043,179,test
1,10043,56,test
1,10043,2,test
1,10043,147,test
1,10043,83,test
1,10043,61,test
1,10043,93,test
1,10043,106,test
1,10043,176,test
1,10043,143,test
1,10043,130,test
1,10043,65,test
1,10043,217,test
1,10043,57,test
1,10043,114,test
1,10043,168,test
1,10043,235,test
1,10043,186,test
1,10043,213,test
1,10043,41,test
1,10043,187,test
1,10043,188,test
1,10043,45,test
1,10043,136,test
1,10043,157,test
1,10043,210,test
1,10043,144,test
1,10043,112,test
1,10043,88,test
1,10043,174,test
1,10043,198,test
1,10043,44,test
1,10043,141,test
1,10043,183,test
1,10043,215,test
1,10043,80,test
1,10043,162,test
1,10043,239,test
1,10043,145,test
1,10043,172,test
1,10043,206,test
1,10043,48,test
1,10043,49,test
1,10043,150,test
1,10043,181,test
1,10043,79,test
1,10043,66,test
1,10043,160,test
1,10043,77,test
1,10043,222,test
1,10043,113,test
1,10043,107,test
1,10043,161,test
1,10043,178,test
1,10043,137,test
1,10043,71,test
1,10043,216,test
1,10043,200,test
1,10043,100,test
1,10043,211,test
1,10043,81,test
1,10043,127,test
2,10044,64,train
2,10044,208,train
2,10044,16,train
2,10044,78,train
2,10044,161,train
2,10044,96,train
2,10044,220,train
2,10044,190,train
2,10044,51,train
2,10044,201,train
2,10044,12,train
2,10044,117,train
2,10044,41,train
2,10044,70,train
2,10044,71,train
2,10044,179,train
2,10044,199,train
2,10044,101,train
2,10044,227,train
2,10044,23,train
2,10044,171,train
2,10044,105,train
2,10044,107,train
2,10044,132,train
2,10044,137,train
2,10044,56,train
2,10044,36,train
2,10044,122,train
2,10044,110,train
2,10044,10,train
2,10044,123,train
2,10044,91,train
2,10044,66,train
2,10044,231,train
2,10044,95,train
2,10044,193,train
2,10044,184,train
2,10044,239,train
2,10044,108,train
2,10044,46,train
2,10044,6,train
2,10044,47,train
2,10044,39,train
2,10044,160,train
2,10044,116,train
2,10044,98,train
2,10044,185,train
2,10044,126,train
2,10044,232,train
2,10044,173,train
2,10044,104,train
2,10044,230,train
2,10044,102,train
2,10044,100,train
2,10044,196,train
2,10044,164,train
2,10044,216,train
2,10044,21,train
2,10044,97,train
2,10044,191,train
2,10044,157,train
2,10044,181,train
2,10044,80,train
2,10044,111,train
2,10044,3,train
2,10044,200,train
2,10044,144,train
2,10044,174,train
2,10044,17,train
2,10044,143,train
2,10044,172,train
2,10044,167,train
2,10044,50,train
2,10044,182,train
2,10044,67,train
2,10044,114,train
2,10044,176,train
2,10044,18,train
2,10044,120,train
2,10044,42,train
2,10044,15,train
2,10044,58,train
2,10044,59,train
2,10044,81,train
2,10044,89,train
2,10044,45,train
2,10044,186,train
2,10044,202,train
2,10044,228,train
2,10044,65,train
2,10044,109,train
2,10044,217,train
2,10044,87,train
2,10044,27,train
2,10044,209,train
2,10044,195,train
2,10044,168,train
2,10044,206,train
2,10044,234,train
2,10044,103,train
2,10044,61,train
2,10044,215,train
2,10044,125,train
2,10044,177,train
2,10044,141,train
2,10044,139,train
2,10044,22,train
2,10044,68,train
2,10044,134,train
2,10044,211,train
2,10044,63,train
2,10044,113,train
2,10044,84,train
2,10044,0,train
2,10044,238,train
2,10044,133,train
2,10044,187,train
2,10044,226,train
2,10044,183,train
2,10044,112,train
2,10044,49,train
2,10044,138,train
2,10044,142,train
2,10044,115,train
2,10044,235,train
2,10044,86,train
2,10044,60,train
2,10044,13,train
2,10044,153,train
2,10044,82,train
2,10044,48,train
2,10044,55,train
2,10044,159,train
2,10044,154,train
2,10044,90,train
2,10044,192,train
2,10044,237,train
2,10044,213,train
2,10044,169,train
2,10044,53,train
2,10044,7,train
2,10044,1,train
2,10044,151,train
2,10044,155,train
2,10044,54,train
2,10044,14,train
2,10044,77,train
2,10044,198,train
2,10044,74,train
2,10044,118,train
2,10044,83,train
2,10044,4,train
2,10044,180,train
2,10044,24,train
2,10044,75,train
2,10044,11,train
2,10044,31,train
2,10044,135,train
2,10044,148,train
2,10044,40,train
2,10044,147,train
2,10044,162,train
2,10044,219,train
2,10044,37,train
2,10044,93,train
2,10044,178,train
2,10044,194,train
2,10044,19,train
2,10044,150,test
2,10044,5,test
2,10044,69,test
2,10044,73,test
2,10044,34,test
2,10044,221,test
2,10044,57,test
2,10044,236,test
2,10044,175,test
2,10044,124,test
2,10044,152,test
2,10044,94,test
2,10044,43,test
2,10044,2,test
2,10044,163,test
2,10044,166,test
2,10044,158,test
2,10044,25,test
2,10044,225,test
2,10044,26,test
2,10044,79,test
2,10044,170,test
2,10044,72,test
2,10044,222,test
2,10044,146,test
2,10044,29,test
2,10044,52,test
2,10044,140,test
2,10044,30,test
2,10044,203,test
2,10044,44,test
2,10044,38,test
2,10044,145,test
2,10044,197,test
2,10044,131,test
2,10044,210,test
2,10044,149,test
2,10044,156,test
2,10044,33,test
2,10044,8,test
2,10044,204,test
2,10044,129,test
2,10044,127,test
2,10044,233,test
2,10044,35,test
2,10044,32,test
2,10044,224,test
2,10044,136,test
2,10044,9,test
2,10044,189,test
2,10044,92,test
2,10044,188,test
2,10044,207,test
2,10044,85,test
2,10044,99,test
2,10044,121,test
2,10044,212,test
2,10044,205,test
2,10044,106,test
2,10044,229,test
2,10044,128,test
2,10044,76,test
2,10044,214,test
2,10044,130,test
2,10044,88,test
2,10044,165,test
2,10044,223,test
2,10044,20,test
2,10044,218,test
2,10044,28,test
2,10044,119,test
2,10044,62,test
